conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1943207058402349159,Thu Jul 10 07:14:00 +0000 2025,1,Memang ada ya ijazah aslinya dari UGM ?,1943207058402349159,,,in,,0,1,0,https://x.com/undefined/status/1943207058402349159,1101958568066998272,
1943191952100593772,Thu Jul 10 07:12:57 +0000 2025,1,@mulanbilqis Bikin rusak dunia pendidikan karena tercoreng dengan cerita Ijazah yang sangat di pertanyakan darimana SD SMP SMA dan Kuliah nya tapi Tidak berani menunjukkan Ijazah Asli nya belum lagi cerita Disertasi nya Plagiat tapi dapat S3 nya kayak jalan Tol bebas hambatan.,1943206795771834533,,mulanbilqis,in,,0,0,0,https://x.com/undefined/status/1943206795771834533,797735565223284736,
1943160069581164787,Thu Jul 10 07:12:39 +0000 2025,8,@DokterTifa Nalar normal saja ya bila kasi lihat/tunjukkan ijazah yg diragukan keasliannya maka selesai. Setelah itu bisa mencaci maki bila perlu pidanakan orang yg menuduh ijazah itu palsu. Ga spt sekarang ga selesai pdhl sekelas presiden yg mestinya menciptakan suasana damai.,1943206718868951299,,DokterTifa,in,,0,1,1,https://x.com/undefined/status/1943206718868951299,1561580852735225856,
1943152480759742855,Thu Jul 10 07:12:30 +0000 2025,0,@GybrantR53927 @todel_liot @tvOneNews Emang ada pakar yang mau membela ijazah abal-abal?,1943206680847614286,,GybrantR53927,in,,0,0,0,https://x.com/undefined/status/1943206680847614286,1606183761904664576,
1943206620735086866,Thu Jul 10 07:12:16 +0000 2025,0,Emang kau siapa nanya ijazah orang.? Kapasitasmu apa?,1943206620735086866,,,in,,0,1,0,https://x.com/undefined/status/1943206620735086866,1383301453528244224,
1943204621255930312,Thu Jul 10 07:12:06 +0000 2025,25,@DarsAlexandra1 itu cuman gosip bang @jokowi sepertinya mempersiapkan langkah selanjutnya untuk: - proses pencalonan nabi di koordinir oleh @DedynurPalakka &amp; mungkin juga silfester - proses pengaslian ijazah di koordinir oleh @DianSandiU - proses pencalonan sekjen PBB di koordinir ama termul,1943206582504034454,,DarsAlexandra1,in,,0,1,0,https://x.com/undefined/status/1943206582504034454,1702418664757297152,
1943206414325027271,Thu Jul 10 07:11:26 +0000 2025,28,Keadilan dan kebenaran Harus ditegakkan Masalah ijazah adalah hal yg sangat penting @jokowi Wajib mempertanggung jwbkan apa yang sudah dia lakukan Agar tidak menjadi contoh buruk pada masyarakat Kalo hal ini dibiarkan dan dianggap maklum kedepanny orang beranggapan untuk apa https://t.co/AGnTApagef,1943206414325027271,https://pbs.twimg.com/media/Gven7oTaMAAGzd5.jpg,,in,,0,4,20,https://x.com/undefined/status/1943206414325027271,1864063433446195200,
1943120846782107685,Thu Jul 10 07:11:10 +0000 2025,0,@PutriKayan16645 Terbongkar... Ijazah PALSU jkw... Alhamdulillah,1943206347497181652,,PutriKayan16645,in,,0,0,0,https://x.com/undefined/status/1943206347497181652,808582626688712704,
1943156894178382134,Thu Jul 10 07:11:06 +0000 2025,1,@RagilSemar APA SUSAHNYA NUNJUKKAN IJAZAH ASLI ? (KALAU MEMANG PUNYA),1943206329990156634,,RagilSemar,in,,0,0,0,https://x.com/undefined/status/1943206329990156634,1173949531097948161,
1942946844218139095,Thu Jul 10 07:10:55 +0000 2025,0,@KompasTV Sebelum ditukang ngibul masih menyembunyikan ijazahnya dan tak mau memperlihatkan didepan para ahli dari pihak Roy Suryo cs maka ijazah itu pasti palsu,1943206284247068778,,KompasTV,in,,0,0,0,https://x.com/undefined/status/1943206284247068778,1839988085804912640,
1942863694578556977,Thu Jul 10 07:09:19 +0000 2025,0,@tvOneNews Kuasa hukum...BANGKEE ANJINGG JOKOWI..dlmHATINYA TAU..!!!bahwa: IJAZAH..BANGKEE ANJINGG JOKOWI..PALSU..! TAPI..KRN MRK MEMBURU UANG YG DIJANJIKAN/DIBERIKAN..BANGKEE ANJINGG JOKOWI...BERBAGAI MCM CARA...HARUS MENANGG,1943205880901833175,,tvOneNews,in,,0,0,0,https://x.com/undefined/status/1943205880901833175,1888223302776492032,
1943205073074688024,Thu Jul 10 07:06:07 +0000 2025,0,TPUA MAKIN HAQUL YAKIN IJAZAH JOKOWI #PALSU. TINGGAL DICEK BENARKAH DICETAK DI PASAR PRAMUKA https://t.co/zbFwJt0XIL https://t.co/xJcFiLciq0,1943205073074688024,https://pbs.twimg.com/media/GvemttrbwAAede0.jpg,,in,,0,0,0,https://x.com/undefined/status/1943205073074688024,1484562767478935553,
1943158566468358371,Thu Jul 10 07:05:26 +0000 2025,0,@kumenyimaksaja Ibuku pas mau bikin paspor untuk umroh baru ketauan ternyata tgl lahir di KTP buku nikah akte dan ijazah beda semua. Ternyata yg bener itu yg ijazah (karena akte lahirnya baru dibikin tahun 90an) jadi harus urus ulang semua buat ubah tgl lahir. Ribet bgt ,1943204902496539064,,kumenyimaksaja,in,,0,1,0,https://x.com/undefined/status/1943204902496539064,99221158,
1943166916748808432,Thu Jul 10 06:54:54 +0000 2025,3,@msaid_didu Muak lihat dan dengar kasus ijazah jokodok.. hukum mati saja jokodok biar Indonesia aman dari oligarki dan kecurangan rezim jokodok..,1943202253516808627,,msaid_didu,in,,0,0,1,https://x.com/undefined/status/1943202253516808627,1613018645088833536,
1943160069581164787,Thu Jul 10 06:54:33 +0000 2025,3,@AndPaul008 @DokterTifa Helloooo... Gmn mau koar² dia msh berkuasa baru pak Anies Baswedan mau beresin yg Ijazah² palsu malah beliau di pecat krn tkt dia sndiri pun Ijazah nya palsu... ,1943202164828201107,,AndPaul008,in,,0,0,0,https://x.com/undefined/status/1943202164828201107,1725373987277127680,
