tweet_id_str,created_at,processed_text,mentions,jumlah_mention,id
1943199383471952125,Thu Jul 10 06:43:30 +0000 2025,kan jadi masalah ijazah nya molyono bukan wajah iya wajar cari ijazah,@OposisiCerdas,1,1943199383471952125
1943199437368758383,Thu Jul 10 06:43:43 +0000 2025,azmi jokowi tinggal tunjuk ijazah asli milik hingga kasus selesai kalau tunjuk ijazah asli palsu makin runyam masalah,@CNNIndonesia,1,1943199437368758383
1943199635977441413,Thu Jul 10 06:44:30 +0000 2025,loh beasiswa mana nahan ijazah,@mieladyy,1,1943199635977441413
1943199768529842609,Thu Jul 10 06:45:02 +0000 2025,milik ijazah asli,"@_bsutanto,@STresnowati1,@jokowi,@UGMYogyakarta,@DokterTifa",5,1943199768529842609
1943200179974213680,Thu Jul 10 06:46:40 +0000 2025,bukti ijazah palsu sbaiknya pak lapor bang roy suryo cs tunjuk ijazah asli jangan ijazah apa punya p jokowi palsu masuk omong sejak palsu semua,"@tvOneNews,@KRMT_RoySuryo,@jokowi,@jokowi,@poldametro91",5,1943200179974213680
1943200256587350295,Thu Jul 10 06:46:58 +0000 2025,kalau santai tinggal tunjuk langsung kan selesai urus terus teriak palsu masuk penjara atas tuduh cemar nama baiksimpel kan bahkan punya ijazah enggan tunjuk nama selalu sebut,@Intel_Imut,1,1943200256587350295
1943200340104614262,Thu Jul 10 06:47:18 +0000 2025,tau aku baca sih usaha apa larang tahan ijazah,"@lopmyselff,@worksfess",2,1943200340104614262
1943200394974499051,Thu Jul 10 06:47:31 +0000 2025,biasa samping ijazah,@lemonnnn_____,1,1943200394974499051
1943200672016667120,Thu Jul 10 06:48:37 +0000 2025,keduannya nder terlalu banyak resiko opsi mau kapan gaji nutup buat lunas utangbungaklo opsi lebih baik tahan ijazah pilih sulit usaha bilang bakal lepas 2024 jadi cuma janji,@worksfess,1,1943200672016667120
1943200873653637434,Thu Jul 10 06:49:25 +0000 2025,mungkin jokowi tunjuk ijazah asli memang punya sungguh malu apa kata dunia,@S4N_W1B1,1,1943200873653637434
1943201203988451595,Thu Jul 10 06:50:44 +0000 2025,kecut woi piaran jokowi lihat acara bos luh bikin gaduh kecut tunjuk ijazah asli hadir luh bela kata buat terna joko bool bodoh tolol,"@keuangannews_id,@keuangan",2,1943201203988451595
1943201308372275255,Thu Jul 10 06:51:09 +0000 2025,sederhana sekali klu malu cs tinggal tunjuk tu ijazah asli noh ijazah mau kalian forensik planet mars sekali apa klu jadi alumni,"@KompasTV,@jokowi,@KRMT_RoySuryo,@UGMYogyakarta",4,1943201308372275255
1943201734605819935,Thu Jul 10 06:52:51 +0000 2025,tampak jelas duga rekayasa ijazah memang,@Opposisi6890,1,1943201734605819935
1943201798770081955,Thu Jul 10 06:53:06 +0000 2025,bukan kamu brengsek orang cari benar kok kalau mmng ijazah jokowi benar asli kan tinggal jemput bikin fitnah masuk penjara hukum berat beres kan terus kamu panas dingin otak kamu sakit iya,"@PoltakSitinja18,@DokterTifa",2,1943201798770081955
1943201871633748272,Thu Jul 10 06:53:23 +0000 2025,hadir simpul ijazah pak palsu makan malu hadir punya asli punya beban hadir logika sederhana masuk akal,"@arifbalikpapan1,@jokowi",2,1943201871633748272
1943201952265048467,Thu Jul 10 06:53:43 +0000 2025,kalau biyarkan banyak orang bodoh make ijazah palsu banyak uang minim pengengetahuan pimpin,"@17Yopyop31734,@MJOEJOEF",2,1943201952265048467
1943201970925506830,Thu Jul 10 06:53:47 +0000 2025,ijazah palsu asli tipu tipu,@pelti_nih,1,1943201970925506830
1943202164828201107,Thu Jul 10 06:54:33 +0000 2025,helloooo bagaimana mau teriak kuasa baru pak anies baswedan mau beres ijazah palsu bahkan beliau pecat tkt sendiri ijazah nya palsu,"@AndPaul008,@DokterTifa",2,1943202164828201107
1943202253516808627,Thu Jul 10 06:54:54 +0000 2025,muak lihat dengar kasus ijazah jokodok hukum mati jokodok biar indonesia aman oligarki curang rezim jokodok,@msaid_didu,1,1943202253516808627
1943204902496539064,Thu Jul 10 07:05:26 +0000 2025,ibu mau bikin paspor umroh baru tahu nyata tanggal lahir ktp buku nikah akte ijazah beda semua nyata benar ijazah akte lahir baru bikin 2024 an jadi urus ulang semua buat ubah tanggal lahir ribet banget,@kumenyimaksaja,1,1943204902496539064
1943205880901833175,Thu Jul 10 07:09:19 +0000 2025,kuasa hukumbangkee anjingg jokowidlmhatinya taubahwa ijazahbangkee anjingg jokowipalsu tapikrn mrk buru uang dijanjikandiberikanbangkee anjingg jokowiberbagai mcm caraharus menangg,@tvOneNews,1,1943205880901833175
1943206284247068778,Thu Jul 10 07:10:55 +0000 2025,tukang bohong sembunyi ijazah mau lihat depan ahli pihak roy suryo cs ijazah palsu,@KompasTV,1,1943206284247068778
1943206329990156634,Thu Jul 10 07:11:06 +0000 2025,apa susah nunjukkan ijazah asli kalau memang punya,@RagilSemar,1,1943206329990156634
1943206347497181652,Thu Jul 10 07:11:10 +0000 2025,bongkar ijazah palsu jkw alhamdulillah,@PutriKayan16645,1,1943206347497181652
1943206414325027271,Thu Jul 10 07:11:26 +0000 2025,adil benar tegak masalah ijazah sangat penting wajib tanggung jwbkan apa laku jadi contoh buruk masyarakat kalau biar anggap maklum kedepanny orang anggap apa,@jokowi,1,1943206414325027271
1943206582504034454,Thu Jul 10 07:12:06 +0000 2025,cuma gosip bang seperti siap langkah lanjut proses calon nabi koordinir amp mungkin silfester proses asli ijazah koordinir proses calon sekretaris jenderal pbb koordinir sama termul,"@DarsAlexandra1,@jokowi,@DedynurPalakka,@DianSandiU",4,1943206582504034454
1943206680847614286,Thu Jul 10 07:12:30 +0000 2025,memang pakar mau bela ijazah abalabal,"@GybrantR53927,@todel_liot,@tvOneNews",3,1943206680847614286
1943206718868951299,Thu Jul 10 07:12:39 +0000 2025,nalar normal iya bila kasi lihattunjukkan ijazah ragu asli selesai caci maki bila perlu pidana orang tuduh ijazah palsu sekarang selesai padahal kelas presiden mesti cipta suasana damai,@DokterTifa,1,1943206718868951299
1943206795771834533,Thu Jul 10 07:12:57 +0000 2025,bikin rusak dunia didik coreng cerita ijazah sangat tanya darimana sd smp sama kuliah nya berani tunjuk ijazah asli nya cerita disertasi nya plagiat s nya kayak jalan tol bebas hambat,@mulanbilqis,1,1943206795771834533
1943207234869301600,Thu Jul 10 07:14:42 +0000 2025,jiazah nya menchotot kak aduuuh bakal lebih mati bela sang milik ijazah menchotot,"@MariaAlkaff_,@abu_waras",2,1943207234869301600
1943207640794017956,Thu Jul 10 07:16:19 +0000 2025,jelas sangsi ijazah junjung,"@PoltakSitinja18,@MSafei1968,@DokterTifa",3,1943207640794017956
1943207693428363424,Thu Jul 10 07:16:31 +0000 2025,nabi jokowi tunjuk ijazah asli publik tetap tuduh nya,@geloraco,1,1943207693428363424
1943207753511522758,Thu Jul 10 07:16:46 +0000 2025,kalau ijazah nya asli mau cek puslabfor polri puslabfor roy suryo cs nya lawyer berat kalau asli iya asli perlu panik dong,@jokowi,1,1943207753511522758
1943207799925936578,Thu Jul 10 07:16:57 +0000 2025,mudah opsi tiga gaji lebih banyak nahan ijazah,@worksfess,1,1943207799925936578
1943207945355038786,Thu Jul 10 07:17:31 +0000 2025,spek tara nabi asli ijazah calon sekretaris jenderal pbb indonesia memang tiada lawan luarrrr biasa,"@NetralID62,@DarsAlexandra1,@jokowi,@DedynurPalakka,@DianSandiU",5,1943207945355038786
1943208147168170311,Thu Jul 10 07:18:20 +0000 2025,ayo penjara rismon cs cara tunjukkin ijazah asli termul kalau kamu yakin si kurap punya ijazah,@CNNIndonesia,1,1943208147168170311
1943208375388639452,Thu Jul 10 07:19:14 +0000 2025,suara terus kalian punya ijazah asli kalian hormat lulus ugm hatihati aku bukti he was ngedabruz,@abu_waras,1,1943208375388639452
1943208435115528387,Thu Jul 10 07:19:28 +0000 2025,ksh informasi dikit jangan ijazah keluar cetak ijazah keluar buah umiversitaspt lama benar jk penuh prosesprosedur capai bagaimana orang tuju aku ugm janggal sebut abai,@tham878,1,1943208435115528387
1943208618163085669,Thu Jul 10 07:20:12 +0000 2025,padahal banyak harap roy suryo cs masuk penjara lihat ijazah asli keluar 2024 ugm fakultas hutan,@detikcom,1,1943208618163085669
1943208661419200556,Thu Jul 10 07:20:22 +0000 2025,sprtinya iya soal wktu hrnya lihat muka kecewa krna tahan ijazah hrnya yakin aku klau lvl staff smpai manager semua tahan ijazah,"@muhz_za,@worksfess",2,1943208661419200556
1943208667605864617,Thu Jul 10 07:20:24 +0000 2025,awokwokwok habis mau pakai bahasa kalau habis energi negara buat ngurusin ijazah huruf anya mencotot wkwkwk,"@Gendoet3G,@Bintu__Baba",2,1943208667605864617
1943208835508056267,Thu Jul 10 07:21:04 +0000 2025,kalu ijazah nya palsu arti laku tindak palsu dokumen tahun kan hukum nya palsu dokumen,@PngAdilnR4kyt,1,1943208835508056267
1943208925215756580,Thu Jul 10 07:21:25 +0000 2025,lholho jadi konsen publik fotokopi ijazah presiden ri banyak janggal kok bahkan bawa cacat lidi bareskrim,@tvOneNews,1,1943208925215756580
1943208948405862644,Thu Jul 10 07:21:31 +0000 2025,memang ijazah asli ijasah palsu,"@keuangannews_id,@keuangan",2,1943208948405862644
1943209131378381115,Thu Jul 10 07:22:14 +0000 2025,tunjukin aje ijazah nye,@abu_waras,1,1943209131378381115
1943209352825016546,Thu Jul 10 07:23:07 +0000 2025,kok seperti samasama pegang ijazah asli yoo,@_riverheaven,1,1943209352825016546
1943210862631879035,Thu Jul 10 07:29:07 +0000 2025,misteri besar balik ijazah palsu tentu akte palsu,@democrazymedia,1,1943210862631879035
1943211364379693395,Thu Jul 10 07:31:07 +0000 2025,penjara konsekwensi tuduh ijazah palsu,"@Teman_Lama2000,@DokterTifa",2,1943211364379693395
1943211573448970645,Thu Jul 10 07:31:56 +0000 2025,lah kamu uplod ijazah palsu,@DianSandiU,1,1943211573448970645
1943211611000573982,Thu Jul 10 07:32:05 +0000 2025,ijazah usut tuntas,@tempodotco,1,1943211611000573982
1943211771118141770,Thu Jul 10 07:32:44 +0000 2025,biasa saudara laki sewot skedar tanya ijazah wajar rakyat tanya jabat makan gaji pajak rakyat sekali ber obama presiden as tanya akte lahir kasih lihat publik presiden negara adikuasa loh jokodok pakai alesan ham,"@PoltakSitinja18,@DokterTifa,@PoltakSitinja18",3,1943211771118141770
1943211790814597191,Thu Jul 10 07:32:48 +0000 2025,ijazah jokowi palsu apa urus ugm,@neVerAl0nely_,1,1943211790814597191
1943211815649063102,Thu Jul 10 07:32:54 +0000 2025,benar masalah mudah bukti palsu asli ribu satu alas masuk akal urus terus jadi polemik jokowi amp kuasa hukum terus dalil mau lihat ijazah apa ijazah,@arifbalikpapan1,1,1943211815649063102
1943211879704465467,Thu Jul 10 07:33:09 +0000 2025,ijazah palsu palsu,@alisyarief,1,1943211879704465467
1943211987774943356,Thu Jul 10 07:33:35 +0000 2025,kan kamu edar ijazah jokowi kata asli analisa hasil palsu amp pengacada jokowi bilg kalau ijazah jokowi pernah lihat umum sini kalau bukan kamu bohong iya acara jokowi bohong,@DianSandiU,1,1943211987774943356
1943212068402008347,Thu Jul 10 07:33:54 +0000 2025,hahahaminijazah upp dak berani mas jokowi tampil,@democrazymedia,1,1943212068402008347
1943212159657202058,Thu Jul 10 07:34:16 +0000 2025,salah jokowi bangun ikn kan orang indonesia aquaman bukan bukit man eh iya ding jokowi tetap salah soal indikasi ijazah palsu manusia indo sinting,@ThreadSkandal,1,1943212159657202058
1943212182868508940,Thu Jul 10 07:34:22 +0000 2025,kasi kamu jkw gara ijazah ribut satu negeri kamu biar anak negeri hidup fitnah saling fitnah jangan zholimi anak bangsa lapang dada lah tunjuk asli polemik selesai jangan jadi kecut,@anfarizzat,1,1943212182868508940
1943212272999973103,Thu Jul 10 07:34:43 +0000 2025,pngacara apa kamu wenang mngatakan ijazah palsu iya putus pngadilan bukan polisi,@KompasTV,1,1943212272999973103
1943212521088778705,Thu Jul 10 07:35:42 +0000 2025,jokowi dalil punya ijazah asli wajib bukti ijazah asli palsu satu rakyat percaya omong orang lahir watak tipu buzzerrp hasil rampok apbn,@jokowi,1,1943212521088778705
1943212621437521945,Thu Jul 10 07:36:06 +0000 2025,mabok ijazah,@DokterTifa,1,1943212621437521945
1943213118060142667,Thu Jul 10 07:38:05 +0000 2025,jadi bikin gaduh siapa makin lihat ijazah memang bodong alumni ugm ijazah upp ugm universitas ganggu mental alias kakeyan cangkem alias kang bohong,"@keuangannews_id,@keuangan",2,1943213118060142667
1943213121415315531,Thu Jul 10 07:38:05 +0000 2025,bagaimana rakyat waras mau diam kalau semua apa sampai roy suryo cs daging semua ngak rasa tulang ijazah nya mana tunjuk kan,@RIPDEMOKRASI,1,1943213121415315531
1943213134724165766,Thu Jul 10 07:38:09 +0000 2025,obstruction of justice halang muncul ijazah asli maaf kalau tepat,@msaid_didu,1,1943213134724165766
1943213622420779010,Thu Jul 10 07:40:05 +0000 2025,kasih bukti jadi kamu bicara kalau palsu tahu dulu kamu tampar nyata jadi ijazah palsu kamu sulit buat buka mata,"@todel_liot,@tvOneNews",2,1943213622420779010
1943213739874095354,Thu Jul 10 07:40:33 +0000 2025,kamu siapa tolol ngelarang orang minta nunjukin ijazah asli,"@MasfulPutra,@abu_waras",2,1943213739874095354
1943213751005786338,Thu Jul 10 07:40:36 +0000 2025,ijazah jokowi,"@arifbalikpapan1,@grok",2,1943213751005786338
1943213970565009629,Thu Jul 10 07:41:28 +0000 2025,ijazah kapan,@arcfleurrose,1,1943213970565009629
1943214032410021986,Thu Jul 10 07:41:43 +0000 2025,wong selesai kuliah kok aku punya ijazah,@DianSandiU,1,1943214032410021986
1943214489295278275,Thu Jul 10 07:43:32 +0000 2025,gelar perkara khusus laku bareskrim makin yakin ijazah,@STresnowati1,1,1943214489295278275
1943214712872931492,Thu Jul 10 07:44:25 +0000 2025,prediksi kapan ijazah lihat mau lihat ijazah roy suryo cs penjara bambang tri gus nur,@OposisiCerdas,1,1943214712872931492
1943214837548667054,Thu Jul 10 07:44:55 +0000 2025,apa hubunganye nabi isa sama ijazah palsu,@__PASMANTAP,1,1943214837548667054
1943214880204677347,Thu Jul 10 07:45:05 +0000 2025,ijazah palsu jokowi,@tvOneNews,1,1943214880204677347
1943214894331162938,Thu Jul 10 07:45:08 +0000 2025,klu punya asli tunjuk bangga ijazah asli alumni ugm,@tempodotco,1,1943214894331162938
